OPEN 6.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Dec  8 2023 12:01:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-2246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-2.289999962,-0.219999999,-2864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/LCF_Source-cacao.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,const flow 500 1pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
2,12:15:53,1114.999999,0,1.52706202,0.019933379,267.2239329,0.344032873,1.632481876,27.87587166,2,4.644859791,1,9.289719582,28.25536919,27.87587166,28.15004349,399.9071655,399.241394,21.79973984,21.93433571,55.08948517,55.42961502,499.995636,66.75267792,67.67510223,97.33524323,-1.107717991,0.246311545,0.033740319,0.028321134,0.038269162,0.027084185,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.49997818,0.000344033,301.0258717,301.4053692,10.68042823,-8.44285E-05,3.767465777,38.70608068,16.77174497,28.06562042,3.809380879,0.019890699,2.134983901,1.674396978,0.012435514,26.0103065,0.669329225,55.40975895,399.0194784,0.002120552
3,12:20:24,1385.999999,0,1.054524501,0.026507627,228.1099815,0.470183074,1.676459056,28.54850006,2,4.644859791,1,9.289719582,28.87545395,28.54850006,28.75706482,299.8987427,299.4205933,22.84662819,23.03038025,55.68777466,56.13566208,499.972168,64.68744659,66.58898163,97.32488251,-0.034796238,0.239403993,0.042658497,0.032929711,0.032618131,0.032081958,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.49986084,0.000470183,301.6985001,302.0254539,10.34999122,-0.024822962,3.917888108,40.25577023,17.22538998,28.71197701,3.955228605,0.026432205,2.241429052,1.713799554,0.016526888,22.20077715,0.761837985,55.93761582,299.2673477,0.001971067
4,12:24:55,1656.999999,0,0.36323879,0.050266957,182.7766601,0.896279578,1.687165841,29.09718323,2,4.644859791,1,9.289719582,29.48730659,29.09718323,29.37286568,200.0926666,199.8757019,23.87342644,24.22327232,56.16310883,56.98613739,499.9737244,64.30038452,65.76599121,97.31464386,0.788100362,0.231735021,0.145862177,0.033337232,0.134083807,0.031109359,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499868622,0.00089628,302.2471832,302.6373066,10.28806129,-0.093732234,4.04444496,41.56049696,17.33722464,29.29224491,4.090288078,0.049996425,2.357279119,1.733008959,0.031271959,17.78684558,0.914451623,57.09773995,199.8229153,0.001037925
5,12:28:09,1850.999999,0,-1.000919535,0.068742937,120.6211714,1.20583271,1.662199036,29.25256348,2,4.644859791,1,9.289719582,29.77043533,29.25256348,29.69522476,99.94480133,100.296814,24.38461113,24.85498428,56.43716049,57.52581787,499.9697571,64.60528564,65.58292389,97.31354523,1.341452718,0.223631844,0.107486323,0.011540423,0.099739328,0.012017901,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499848785,0.001205833,302.4025635,302.9204353,10.33684547,-0.139721658,4.080925673,41.93584422,17.08085994,29.5114994,4.142357149,0.068237983,2.418726637,1.723630512,0.042693821,11.73807382,1.202642104,58.17137493,100.4422695,-0.005796849
6,12:32:40,2121.999999,0,-1.747277913,0.091026173,79.7814654,1.586624267,1.654675575,29.41448593,2,4.644859791,1,9.289719582,29.95014954,29.41448593,29.90271187,49.97842407,50.64522171,24.71073151,25.32933235,56.59677124,58.01359558,499.9786682,64.26718903,64.76652527,97.30109406,1.428591847,0.222740442,0.067982055,0.012732077,0.082485646,0.01390735,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499893341,0.001586624,302.5644859,303.1001495,10.28275001,-0.203075792,4.119247324,42.3350566,17.00572425,29.68231773,4.183323005,0.090142899,2.46457175,1.718751255,0.056418008,7.762823869,1.575300941,58.82745952,50.89913951,-0.020194432
7,12:35:22,2283.999999,0,2.90025697,0.101173221,341.7350157,1.77944701,1.6707415,29.60077667,2,4.644859791,1,9.289719582,30.16095734,29.60077667,30.10095406,399.9857178,398.5419312,24.92870712,25.62225342,56.4070549,57.97636414,499.9964905,64.12887573,64.97185516,97.29754639,-1.176121593,0.223944739,0.152902901,0.010510102,0.150563926,0.011194124,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499982452,0.001779447,302.7507767,303.3109573,10.26061989,-0.234384563,4.163723891,42.79371932,17.1714659,29.880867,4.231382719,0.100083226,2.49298239,1.738400329,0.062649041,33.24997855,0.85746314,58.90022449,398.1204602,0.004290807
8,12:38:08,2449.999999,0,2.655203838,0.075310247,331.230787,1.37083118,1.723619166,29.86277199,2,4.644859791,1,9.289719582,30.38437653,29.86277199,30.32116699,400.0176697,398.736908,25.19530678,25.7295475,56.2835083,57.47694016,499.9844666,63.99062729,65.14431763,97.29528809,-1.183850169,0.229837492,0.111032493,0.003673914,0.091339476,0.003142214,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499922333,0.001370831,303.012772,303.5343765,10.23850014,-0.167473667,4.226982902,43.44488809,17.71534059,30.12357426,4.290784158,0.074704629,2.503363736,1.787420421,0.046744429,32.22719484,0.830700094,58.10220008,398.3510486,0.003872795
9,12:42:39,2720.999999,0,2.625777995,0.025171033,318.9015468,0.487507765,1.822945216,30.27774429,2,4.644859791,1,9.289719582,30.73491859,30.27774429,30.66991425,500.0448608,498.8972778,25.56871605,25.7586937,55.9781189,56.39403915,500.0064087,63.77936172,65.28948212,97.2855072,-2.341937304,0.234163553,0.031366918,0.006879325,0.030064233,0.00607206,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.500032043,0.000487508,303.4277443,303.8849186,10.20469765,-0.022016895,4.328892797,44.49679013,18.73809644,30.50633144,4.385939057,0.025103015,2.505947581,1.879991476,0.015695481,31.02449872,0.639212842,56.47369391,498.5156947,0.002974578
10,12:47:10,2991.999999,0,3.110637822,0.023069868,367.5077518,0.444030015,1.811356433,30.24384308,2,4.644859791,1,9.289719582,30.81823921,30.24384308,30.81689644,599.9616089,598.6110229,25.61669731,25.78973007,55.82058334,56.19762802,499.9961853,64.21929169,64.79903412,97.29187775,-3.780471802,0.234392524,0.120231844,0.004904785,0.100571066,0.004863895,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499980927,0.00044403,303.3938431,303.9682392,10.27508644,-0.009047849,4.320487698,44.40748599,18.61775592,30.53104115,4.392144665,0.023012719,2.509131265,1.883013399,0.014388073,35.75551926,0.613934154,56.65779196,598.1589791,0.002946405
11,12:50:08,3169.999999,0,4.468740684,0.021273631,442.0193214,0.412291832,1.823538436,30.27329445,2,4.644859791,1,9.289719582,30.82210922,30.27329445,30.81814957,799.9576416,798.0384521,25.57862663,25.7393055,55.72586441,56.0759201,499.978302,64.12637329,63.91756439,97.29284668,-6.75401926,0.233251169,0.041952979,0.002382858,0.054509245,0.001705279,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.49989151,0.000412292,303.4232944,303.9721092,10.2602195,-0.004943539,4.327788739,44.48208565,18.74278015,30.54770184,4.396333156,0.021225025,2.504250303,1.892082853,0.013269999,43.00531807,0.553882235,56.43096196,797.3890461,0.003162513
12,12:52:39,3320.999999,0,5.12275295,0.016876623,488.0551388,0.331791643,1.848566583,30.39668083,2,4.644859791,1,9.289719582,30.91607094,30.39668083,30.89644241,1000.065369,997.8837891,25.66877365,25.798069,55.62226486,55.9024353,499.9902344,63.89857864,62.88125229,97.2912674,-9.822702408,0.239139721,0.14920561,0.0025861,0.148388162,0.003346041,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499951172,0.000331792,303.5466808,304.0660709,10.22377235,0.007116109,4.358493413,44.79840308,19.00033408,30.65637589,4.423739252,0.016846019,2.509926829,1.913812423,0.010531507,47.48350301,0.489090157,56.11487245,997.1393407,0.002882873
13,12:57:10,3591.999999,0,5.541265906,0.010930021,360.8455058,0.21946838,1.885921604,30.61432648,2,4.644859791,1,9.289719582,31.11551094,30.61432648,31.08067131,1200.21106,1197.889404,25.89228439,25.97779083,55.46751022,55.65068817,500.0022888,60.25144196,61.18846893,97.2829361,-13.34539509,0.238989323,0.110928379,0.006276996,0.122654766,0.006160611,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.500011444,0.000219468,303.7643265,304.2655109,9.640230497,0.022972681,4.413117369,45.36373537,19.38594454,30.86491871,4.476747979,0.010917176,2.527195765,1.949552214,0.006824388,35.10411028,0.301234408,55.73686753,1197.084137,0.002580043
14,13:01:00,3821.499999,0,6.209997798,0.009668556,340.4449607,0.196546074,1.908441535,30.77033997,2,4.644859791,1,9.289719582,31.26947021,30.77033997,31.23259354,1399.901245,1397.307373,26.07639122,26.1529541,55.37353134,55.53610992,499.9963684,59.00782776,59.32001877,97.28146362,-17.0224514,0.242684722,0.052685607,0.005266767,0.05678321,0.004543449,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499981842,0.000196546,303.92034,304.4194702,9.44125223,0.026004339,4.452639188,45.77068459,19.61773049,31.01990509,4.516500984,0.009658504,2.544197653,1.972303331,0.006037467,33.11898406,0.243643573,55.58646399,1396.404924,0.002472004
15,13:04:07,4008.499999,0,7.177199861,0.009515653,356.8916338,0.1955671,1.92892759,30.88193512,2,4.644859791,1,9.289719582,31.38280106,30.88193512,31.34660149,1599.901001,1596.905151,26.16023636,26.23641205,55.19145203,55.35216141,499.9918518,58.31211472,57.18729019,97.27587891,-21.00737572,0.241227984,0.077689953,0.002081288,0.03779668,0.002911657,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499959259,0.000195567,304.0319351,304.5328011,9.329938146,0.025849306,4.481097631,46.06586629,19.82945424,31.13236809,4.545539185,0.009505916,2.552170041,1.993369143,0.005942072,34.71694735,0.223489563,55.38530266,1595.862147,0.002490888
