OPEN 6.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Dec  8 2023 15:37:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-2246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-2.289999962,-0.219999999,-2864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/LCF_Source-cacao-survey.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,420pm survey canopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,stage,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
10,15:58:50,D,1331.500002,0,1.861403619,0.026449685,373.9811692,0.454904935,1.627853852,28.85191536,2,4.644859791,0,4.644859791,29.46010208,28.85191536,29.495224,500.0388489,499.2034302,24.07644463,24.2539978,56.71319199,57.13142776,499.9873047,115.6430664,76.35369873,97.28643036,-2.595725775,0.241715923,0.029570602,0.002121412,0.033835933,0.001649499,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499936523,0.000454905,302.0019154,302.6101021,18.50289021,0.021664307,3.98743872,40.98658678,16.73258897,29.15600872,4.058222626,0.026299923,2.359584868,1.698637757,0.016450842,36.38329297,0.749155848,58.03778688,498.6624246,0.00216643
11,16:00:43,D,1445.000002,0,1.599686302,0.021628621,368.0927532,0.381994446,1.669477544,29.07609177,2,4.644859791,0,4.644859791,29.66204643,29.07609177,29.67869186,499.9223328,499.2061768,24.21074486,24.35982132,56.37347031,56.7205925,499.9972839,115.4053268,73.98197174,97.29289246,-2.525785685,0.250597119,0.040368747,0.003389337,0.057766464,0.002951329,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.49998642,0.000381994,302.2260918,302.8120464,18.46485188,0.032822209,4.039515019,41.51911735,17.15929603,29.3690691,4.108467148,0.021528375,2.370037476,1.738429672,0.013464205,35.81280865,0.737356167,57.46170162,498.7412377,0.001843054
12,16:02:54,C,1576.000002,0,0.000612751,0.008985777,485.6735021,0.162478605,1.704086594,29.2658844,2,4.644859791,0,4.644859791,29.85907555,29.2658844,29.86817551,500.0982666,500.0655212,24.39846039,24.46186256,56.17045975,56.31642532,499.995697,116.0273132,76.36623383,97.29348755,-2.524398565,0.247699097,0.051236469,0.004302353,0.036851302,0.003097696,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499978485,0.000162479,302.4158844,303.0090755,18.5643697,0.070481937,4.084066515,41.9767717,17.51490914,29.56247997,4.154546598,0.008968427,2.379979921,1.774566678,0.005606823,47.25286883,0.971219733,56.92438066,500.0653431,6.97518E-07
13,16:05:05,D,1706.500002,0,1.020430244,0.011734203,347.6627596,0.21402939,1.719544996,29.41003609,2,4.644859791,0,4.644859791,29.9819622,29.41003609,29.9857235,499.9421997,499.491272,24.56976128,24.65326118,56.16775513,56.35863876,500.0074158,115.0426407,71.57492828,97.29524231,-2.529784918,0.248603567,0.043399572,0.004017,0.029756118,0.002690364,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.500037079,0.000214029,302.5600361,303.1319622,18.4068221,0.060276914,4.118190017,42.32673581,17.67347463,29.69599915,4.186619319,0.011704634,2.398645021,1.787974298,0.007318047,33.82593243,0.696033703,56.90716702,499.1946902,0.001163269
14,16:07:21,C,1842.500002,0,-0.35572389,0.026519759,507.4034524,0.464686441,1.657441332,29.21508408,2,4.644859791,0,4.644859791,29.91376495,29.21508408,29.95974541,499.9785461,500.0278931,24.63615799,24.81741905,56.54165268,56.95766449,500.0016174,116.3413696,84.20381927,97.29692841,-2.526376009,0.24394916,0.084725626,0.001204532,0.076272018,0.002831655,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.500008087,0.000464686,302.3650841,303.063765,18.61461872,0.024677922,4.072099977,41.85229733,17.03487828,29.56442451,4.155012157,0.026369204,2.414658645,1.740353512,0.016494213,49.36879738,1.014750296,58.13306883,500.131282,-0.000413478
15,16:09:18,D,1959.500002,0,2.426553243,0.026135292,337.9429493,0.455054904,1.647134379,29.13463402,2,4.644859791,0,4.644859791,29.83645058,29.13463402,29.9192009,499.9865723,498.9250793,24.55074501,24.7282753,56.59880447,57.00807571,499.9734802,115.8048172,88.23123169,97.30065155,-2.63120079,0.243666008,0.048477564,0.002704907,0.017886829,0.002478756,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499867401,0.000455055,302.284634,302.9864506,18.52877034,0.026088672,4.053211677,41.65657283,16.92829753,29.4855423,4.136162793,0.025989059,2.406077298,1.730085495,0.016256237,32.88206915,0.677342077,58.20225033,498.2198165,0.00283471
16,16:13:40,C,2221.500002,0,-0.854361492,0.02903894,533.0164551,0.507910549,1.65566071,29.157547,2,4.644859791,0,4.644859791,29.84232903,29.157547,29.90728951,499.9854736,500.2255554,24.49732399,24.6954422,56.45750427,56.91409302,500.0726318,185.1610107,80.66004181,97.30227661,-2.633561373,0.234432444,0.029478462,0.001498676,0.042503934,0.001762517,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.500363159,0.000507911,302.307547,302.992329,29.62576106,0.058734751,4.058583458,41.71108425,17.01564205,29.49993801,4.139597161,0.028858521,2.402922748,1.736674413,0.018052699,51.86371455,1.065552228,58.06709052,500.4738703,-0.000991266
17,16:15:37,D,2340.000002,0,0.782961727,0.015062352,403.5198805,0.266334407,1.668796843,29.18562317,2,4.644859791,0,4.644859791,29.8628521,29.18562317,29.91299248,500.1000671,499.7336426,24.52399635,24.6279068,56.45292664,56.69212341,499.9981384,115.5974579,64.22290802,97.30332947,-2.533074617,0.241753235,0.036176264,0.001048579,0.036360074,0.000762553,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499990692,0.000266334,302.3356232,303.0128521,18.49559285,0.056580397,4.065174172,41.77836663,17.15045983,29.52423763,4.145399933,0.015013666,2.396377329,1.749022603,0.009387903,39.26382788,0.807469912,57.67635846,499.5060796,0.000904061
18,16:17:35,D,2456.500002,0,0.775046199,0.025481468,437.5383711,0.446331242,1.656728398,29.17468262,2,4.644859791,0,4.644859791,29.85790443,29.17468262,29.90077591,500.0258484,499.6266174,24.55165291,24.72577667,56.53210831,56.93304062,499.9838562,115.3619919,68.44901276,97.30236053,-2.599140644,0.240963399,0.059803251,0.001795295,0.057475809,0.001734803,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499919281,0.000446331,302.3246826,303.0079044,18.45791829,0.026447492,4.062604834,41.75237694,17.02660027,29.51629353,4.143502093,0.02534244,2.405876436,1.737625657,0.015851458,42.57351633,0.875730707,58.04809936,499.401355,0.000900878
19,16:20:44,C,2646.000002,0,-0.713885921,0.023698247,533.8042753,0.418365113,1.669097671,29.2529583,2,4.644859791,0,4.644859791,29.86507416,29.2529583,29.90156174,499.8585815,500.0604553,24.62214088,24.78534126,56.67688751,57.05255508,499.9936829,116.1830444,12.18720341,97.31240082,-2.772164583,0.237566605,0.028979186,0.002261641,0.029381078,0.000688254,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499968414,0.000418365,302.4029583,303.0150742,18.58928669,0.028421961,4.081018735,41.93729371,17.15195245,29.55901623,4.153717428,0.023577951,2.411921063,1.741796365,0.01474698,51.9457756,1.067479481,57.90419306,500.2679419,-0.000826297
20,16:22:48,D,2771.000002,0,1.570293212,0.02336513,378.6764756,0.412113503,1.667489795,29.25288582,2,4.644859791,0,4.644859791,29.85257339,29.25288582,29.88224792,499.8200073,499.1095886,24.64055824,24.80132103,56.76091003,57.13123703,499.9820557,115.5099182,35.66353226,97.31384277,-2.743314743,0.239921704,0.107358612,0.003463,0.123492576,0.001306646,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499910278,0.000412114,302.4028858,303.0025734,18.4815865,0.02849437,4.081001651,41.93649675,17.13517572,29.55272961,4.152212871,0.023248184,2.413511855,1.738701016,0.014540577,36.85046301,0.758704069,57.94123745,498.6531925,0.001824609
21,16:24:54,C,2895.500002,0,-0.386144515,0.013988757,529.9173752,0.249796005,1.684743441,29.29393768,2,4.644859791,0,4.644859791,29.84542084,29.29393768,29.87021065,500.2892456,500.3937073,24.62660599,24.72405624,56.75096512,56.97553635,499.9884949,116.1104126,22.15719795,97.31188202,-2.777891159,0.238112584,0.112016648,0.002231876,0.129197836,0.002544478,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499942474,0.000249796,302.4439377,302.9954208,18.5776656,0.053954554,4.090687885,42.03687978,17.31282353,29.56967926,4.156270464,0.013946754,2.405944444,1.75032602,0.008720485,51.5672571,1.059000878,57.52084396,500.5059378,-0.000443778
22,16:27:14,C,3035.500002,0,-0.293075809,0.018772756,510.6511163,0.334215936,1.68137636,29.28664589,2,4.644859791,0,4.644859791,29.86556816,29.28664589,29.88849068,499.980011,500.0303955,24.61099243,24.74137497,56.64837265,56.94848251,499.9856262,116.2562561,33.19387817,97.31025696,-2.742788315,0.23920387,0.071609564,0.001625641,0.065838039,0.002021406,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499928131,0.000334216,302.4366459,303.0155682,18.60100056,0.041104217,4.088965916,42.01988612,17.27851115,29.57610703,4.157810116,0.01869719,2.407589556,1.750220561,0.011692509,49.69159134,1.02124015,57.63138792,500.1155762,-0.000337729
23,16:28:51,C,3132.500002,0,-1.741894055,0.008497812,810.3143457,0.151895989,1.684531257,29.26396179,2,4.644859791,0,4.644859791,29.83368492,29.26396179,29.85403633,499.9390869,500.6054382,24.59468651,24.65394783,56.71471786,56.85137939,499.9927368,116.4306717,15.63582802,97.31024933,-2.726983309,0.239203006,0.102492891,0.001709565,0.084773093,0.003586947,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499963684,0.000151896,302.4139618,302.9836849,18.62890705,0.071434183,4.083613068,41.96488135,17.31093352,29.54882336,4.15127824,0.008482294,2.39908181,1.75219643,0.005302826,78.85189101,1.618668683,57.40553376,501.1117091,-0.00199545
24,16:30:28,D,3229.500002,0,1.029719954,0.02044613,405.8484761,0.356197892,1.646393432,29.09419441,2,4.644859791,0,4.644859791,29.68004799,29.09419441,29.72774124,499.879364,499.3963013,24.49699402,24.63596916,56.991539,57.3148613,499.9780579,116.0298767,37.05073166,97.3110733,-2.76817131,0.237193897,0.038507037,0.002248499,0.059697308,0.00264866,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499890289,0.000356198,302.2441944,302.830048,18.56477986,0.037539999,4.043746033,41.5548395,16.91887034,29.3871212,4.11274906,0.020356523,2.397352601,1.715396459,0.012730847,39.49355081,0.812678178,58.076396,499.0970195,0.001198212
25,16:32:27,C,3350.000002,0,-0.680348864,0.015301889,556.9452376,0.266626668,1.645046969,29.05881691,2,4.644859791,0,4.644859791,29.62908745,29.05881691,29.67231941,500.1672668,500.3860474,24.46026611,24.56430054,57.07466888,57.31741714,499.9829102,116.3371735,39.12498856,97.31333923,-2.679147005,0.235258609,0.1704254,0.002172888,0.172871679,0.002026314,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499914551,0.000266627,302.2088169,302.7790874,18.61394734,0.052067066,4.03548108,41.46894056,16.90464002,29.34395218,4.102515943,0.015251644,2.390434111,1.712081832,0.009536779,54.19820084,1.11303111,57.98197821,500.5837866,-0.000788039
26,16:34:07,D,3450.000002,0,0.251845687,0.02093977,466.6515206,0.371431358,1.676220157,29.2314415,2,4.644859791,0,4.644859791,29.74961853,29.2314415,29.76958084,499.9106445,499.7356567,24.51521873,24.66012955,56.80662155,57.14240646,499.9927979,115.3368759,62.07188797,97.31212616,-2.768212557,0.236766085,0.044553876,0.003239128,0.037720803,0.002940252,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.499963989,0.000371431,302.3814415,302.8996185,18.45389973,0.031499858,4.075949794,41.88532257,17.22519303,29.49053001,4.137352426,0.020845794,2.399729638,1.737622788,0.013037032,45.41085165,0.933796727,57.65084077,499.6624593,0.000290578
